	True_Label	Predicted_Label	Count	data_split	shuffled	feature_type
294	Elongated Negative	Elongated	6	train	False	CP_and_DP
295	Elongated Negative	Elongated Negative	88	train	False	CP_and_DP
296	OutOfFocus	OutOfFocus	257	train	False	CP_and_DP
297	OutOfFocus	OutOfFocus Negative	1	train	False	CP_and_DP
298	OutOfFocus Negative	OutOfFocus	3	train	False	CP_and_DP
299	OutOfFocus Negative	OutOfFocus Negative	255	train	False	CP_and_DP
300	Large	Large	12	test	False	CP_and_DP
301	Large	Large Negative	0	test	False	CP_and_DP
302	Large Negative	Large	53	test	False	CP_and_DP
303	Large Negative	Large Negative	365	test	False	CP_and_DP
304	Prometaphase	Prometaphase	50	test	False	CP_and_DP
305	Prometaphase	Prometaphase Negative	2	test	False	CP_and_DP
306	Prometaphase Negative	Prometaphase	49	test	False	CP_and_DP
307	Prometaphase Negative	Prometaphase Negative	329	test	False	CP_and_DP
308	Grape	Grape	11	test	False	CP_and_DP
309	Grape	Grape Negative	0	test	False	CP_and_DP
310	Grape Negative	Grape	106	test	False	CP_and_DP
311	Grape Negative	Grape Negative	313	test	False	CP_and_DP
312	Interphase	Interphase	58	test	False	CP_and_DP
313	Interphase	Interphase Negative	5	test	False	CP_and_DP
314	Interphase Negative	Interphase	27	test	False	CP_and_DP
315	Interphase Negative	Interphase Negative	340	test	False	CP_and_DP
316	Apoptosis	Apoptosis	40	test	False	CP_and_DP
317	Apoptosis	Apoptosis Negative	1	test	False	CP_and_DP
318	Apoptosis Negative	Apoptosis	50	test	False	CP_and_DP
319	Apoptosis Negative	Apoptosis Negative	339	test	False	CP_and_DP
320	ADCCM	ADCCM	14	test	False	CP_and_DP
321	ADCCM	ADCCM Negative	0	test	False	CP_and_DP
322	ADCCM Negative	ADCCM	90	test	False	CP_and_DP
323	ADCCM Negative	ADCCM Negative	326	test	False	CP_and_DP
324	SmallIrregular	SmallIrregular	25	test	False	CP_and_DP
325	SmallIrregular	SmallIrregular Negative	0	test	False	CP_and_DP
326	SmallIrregular Negative	SmallIrregular	67	test	False	CP_and_DP
327	SmallIrregular Negative	SmallIrregular Negative	338	test	False	CP_and_DP
328	Polylobed	Polylobed	48	test	False	CP_and_DP
329	Polylobed	Polylobed Negative	7	test	False	CP_and_DP
330	Polylobed Negative	Polylobed	48	test	False	CP_and_DP
331	Polylobed Negative	Polylobed Negative	327	test	False	CP_and_DP
332	Metaphase	Metaphase	11	test	False	CP_and_DP
333	Metaphase	Metaphase Negative	0	test	False	CP_and_DP
334	Metaphase Negative	Metaphase	61	test	False	CP_and_DP
335	Metaphase Negative	Metaphase Negative	358	test	False	CP_and_DP
336	Binuclear	Binuclear	28	test	False	CP_and_DP
337	Binuclear	Binuclear Negative	0	test	False	CP_and_DP
338	Binuclear Negative	Binuclear	61	test	False	CP_and_DP
339	Binuclear Negative	Binuclear Negative	341	test	False	CP_and_DP
340	Hole	Hole	17	test	False	CP_and_DP
341	Hole	Hole Negative	0	test	False	CP_and_DP
342	Hole Negative	Hole	55	test	False	CP_and_DP
343	Hole Negative	Hole Negative	358	test	False	CP_and_DP
344	Anaphase	Anaphase	13	test	False	CP_and_DP
345	Anaphase	Anaphase Negative	0	test	False	CP_and_DP
346	Anaphase Negative	Anaphase	72	test	False	CP_and_DP
347	Anaphase Negative	Anaphase Negative	345	test	False	CP_and_DP
348	MetaphaseAlignment	MetaphaseAlignment	24	test	False	CP_and_DP
349	MetaphaseAlignment	MetaphaseAlignment Negative	2	test	False	CP_and_DP
350	MetaphaseAlignment Negative	MetaphaseAlignment	91	test	False	CP_and_DP
351	MetaphaseAlignment Negative	MetaphaseAlignment Negative	313	test	False	CP_and_DP
352	Elongated	Elongated	16	test	False	CP_and_DP
353	Elongated	Elongated Negative	0	test	False	CP_and_DP
354	Elongated Negative	Elongated	33	test	False	CP_and_DP
355	Elongated Negative	Elongated Negative	381	test	False	CP_and_DP
356	OutOfFocus	OutOfFocus	46	test	False	CP_and_DP
357	OutOfFocus	OutOfFocus Negative	0	test	False	CP_and_DP
358	OutOfFocus Negative	OutOfFocus	9	test	False	CP_and_DP
359	OutOfFocus Negative	OutOfFocus Negative	375	test	False	CP_and_DP
360	Large	Large	10	train	True	CP
361	Large	Large Negative	57	train	True	CP
362	Large Negative	Large	44	train	True	CP
363	Large Negative	Large Negative	23	train	True	CP
364	Prometaphase	Prometaphase	150	train	True	CP
365	Prometaphase	Prometaphase Negative	143	train	True	CP
366	Prometaphase Negative	Prometaphase	144	train	True	CP
367	Prometaphase Negative	Prometaphase Negative	149	train	True	CP
368	Grape	Grape	28	train	True	CP
369	Grape	Grape Negative	35	train	True	CP
370	Grape Negative	Grape	32	train	True	CP
371	Grape Negative	Grape Negative	31	train	True	CP
372	Interphase	Interphase	175	train	True	CP
373	Interphase	Interphase Negative	182	train	True	CP
374	Interphase Negative	Interphase	186	train	True	CP
375	Interphase Negative	Interphase Negative	171	train	True	CP
376	Apoptosis	Apoptosis	117	train	True	CP
377	Apoptosis	Apoptosis Negative	115	train	True	CP
378	Apoptosis Negative	Apoptosis	114	train	True	CP
379	Apoptosis Negative	Apoptosis Negative	118	train	True	CP
380	ADCCM	ADCCM	31	train	True	CP
381	ADCCM	ADCCM Negative	50	train	True	CP
382	ADCCM Negative	ADCCM	45	train	True	CP
383	ADCCM Negative	ADCCM Negative	36	train	True	CP
384	SmallIrregular	SmallIrregular	58	train	True	CP
385	SmallIrregular	SmallIrregular Negative	81	train	True	CP
386	SmallIrregular Negative	SmallIrregular	62	train	True	CP
387	SmallIrregular Negative	SmallIrregular Negative	77	train	True	CP
388	Polylobed	Polylobed	72	train	True	CP
389	Polylobed	Polylobed Negative	240	train	True	CP
390	Polylobed Negative	Polylobed	159	train	True	CP
391	Polylobed Negative	Polylobed Negative	153	train	True	CP
392	Metaphase	Metaphase	36	train	True	CP
393	Metaphase	Metaphase Negative	27	train	True	CP
394	Metaphase Negative	Metaphase	25	train	True	CP
395	Metaphase Negative	Metaphase Negative	38	train	True	CP
396	Binuclear	Binuclear	120	train	True	CP
397	Binuclear	Binuclear Negative	36	train	True	CP
398	Binuclear Negative	Binuclear	55	train	True	CP
399	Binuclear Negative	Binuclear Negative	101	train	True	CP
400	Hole	Hole	37	train	True	CP
401	Hole	Hole Negative	60	train	True	CP
402	Hole Negative	Hole	51	train	True	CP
403	Hole Negative	Hole Negative	46	train	True	CP
404	Anaphase	Anaphase	23	train	True	CP
405	Anaphase	Anaphase Negative	48	train	True	CP
406	Anaphase Negative	Anaphase	61	train	True	CP
407	Anaphase Negative	Anaphase Negative	10	train	True	CP
408	MetaphaseAlignment	MetaphaseAlignment	56	train	True	CP
409	MetaphaseAlignment	MetaphaseAlignment Negative	93	train	True	CP
410	MetaphaseAlignment Negative	MetaphaseAlignment	116	train	True	CP
411	MetaphaseAlignment Negative	MetaphaseAlignment Negative	33	train	True	CP
412	Elongated	Elongated	83	train	True	CP
413	Elongated	Elongated Negative	11	train	True	CP
414	Elongated Negative	Elongated	56	train	True	CP
415	Elongated Negative	Elongated Negative	38	train	True	CP
416	OutOfFocus	OutOfFocus	186	train	True	CP
417	OutOfFocus	OutOfFocus Negative	72	train	True	CP
418	OutOfFocus Negative	OutOfFocus	71	train	True	CP
419	OutOfFocus Negative	OutOfFocus Negative	187	train	True	CP
420	Large	Large	3	test	True	CP
421	Large	Large Negative	9	test	True	CP
422	Large Negative	Large	291	test	True	CP
423	Large Negative	Large Negative	127	test	True	CP
424	Prometaphase	Prometaphase	25	test	True	CP
425	Prometaphase	Prometaphase Negative	27	test	True	CP
426	Prometaphase Negative	Prometaphase	231	test	True	CP
427	Prometaphase Negative	Prometaphase Negative	147	test	True	CP
428	Grape	Grape	8	test	True	CP
429	Grape	Grape Negative	3	test	True	CP
430	Grape Negative	Grape	219	test	True	CP
431	Grape Negative	Grape Negative	200	test	True	CP
432	Interphase	Interphase	25	test	True	CP
433	Interphase	Interphase Negative	38	test	True	CP
434	Interphase Negative	Interphase	182	test	True	CP
435	Interphase Negative	Interphase Negative	185	test	True	CP
436	Apoptosis	Apoptosis	20	test	True	CP
437	Apoptosis	Apoptosis Negative	21	test	True	CP
438	Apoptosis Negative	Apoptosis	186	test	True	CP
439	Apoptosis Negative	Apoptosis Negative	203	test	True	CP
440	ADCCM	ADCCM	7	test	True	CP
441	ADCCM	ADCCM Negative	7	test	True	CP
442	ADCCM Negative	ADCCM	225	test	True	CP
443	ADCCM Negative	ADCCM Negative	191	test	True	CP
444	SmallIrregular	SmallIrregular	14	test	True	CP
445	SmallIrregular	SmallIrregular Negative	11	test	True	CP
446	SmallIrregular Negative	SmallIrregular	214	test	True	CP
447	SmallIrregular Negative	SmallIrregular Negative	191	test	True	CP
448	Polylobed	Polylobed	20	test	True	CP
449	Polylobed	Polylobed Negative	35	test	True	CP
450	Polylobed Negative	Polylobed	199	test	True	CP
451	Polylobed Negative	Polylobed Negative	176	test	True	CP
452	Metaphase	Metaphase	7	test	True	CP
453	Metaphase	Metaphase Negative	4	test	True	CP
454	Metaphase Negative	Metaphase	165	test	True	CP
455	Metaphase Negative	Metaphase Negative	254	test	True	CP
456	Binuclear	Binuclear	22	test	True	CP
457	Binuclear	Binuclear Negative	6	test	True	CP
458	Binuclear Negative	Binuclear	187	test	True	CP
459	Binuclear Negative	Binuclear Negative	215	test	True	CP
460	Hole	Hole	10	test	True	CP
461	Hole	Hole Negative	7	test	True	CP
462	Hole Negative	Hole	205	test	True	CP
463	Hole Negative	Hole Negative	208	test	True	CP
464	Anaphase	Anaphase	4	test	True	CP
465	Anaphase	Anaphase Negative	9	test	True	CP
466	Anaphase Negative	Anaphase	358	test	True	CP
467	Anaphase Negative	Anaphase Negative	59	test	True	CP
468	MetaphaseAlignment	MetaphaseAlignment	10	test	True	CP
469	MetaphaseAlignment	MetaphaseAlignment Negative	16	test	True	CP
470	MetaphaseAlignment Negative	MetaphaseAlignment	317	test	True	CP
471	MetaphaseAlignment Negative	MetaphaseAlignment Negative	87	test	True	CP
472	Elongated	Elongated	12	test	True	CP
473	Elongated	Elongated Negative	4	test	True	CP
474	Elongated Negative	Elongated	266	test	True	CP
475	Elongated Negative	Elongated Negative	148	test	True	CP
476	OutOfFocus	OutOfFocus	36	test	True	CP
477	OutOfFocus	OutOfFocus Negative	10	test	True	CP
478	OutOfFocus Negative	OutOfFocus	107	test	True	CP
479	OutOfFocus Negative	OutOfFocus Negative	277	test	True	CP
480	Large	Large	33	train	True	DP
481	Large	Large Negative	34	train	True	DP
482	Large Negative	Large	34	train	True	DP
483	Large Negative	Large Negative	33	train	True	DP
484	Prometaphase	Prometaphase	172	train	True	DP
485	Prometaphase	Prometaphase Negative	121	train	True	DP
486	Prometaphase Negative	Prometaphase	71	train	True	DP
487	Prometaphase Negative	Prometaphase Negative	222	train	True	DP
488	Grape	Grape	26	train	True	DP
489	Grape	Grape Negative	37	train	True	DP
490	Grape Negative	Grape	34	train	True	DP
491	Grape Negative	Grape Negative	29	train	True	DP
492	Interphase	Interphase	182	train	True	DP
493	Interphase	Interphase Negative	175	train	True	DP
494	Interphase Negative	Interphase	164	train	True	DP
495	Interphase Negative	Interphase Negative	193	train	True	DP
496	Apoptosis	Apoptosis	98	train	True	DP
497	Apoptosis	Apoptosis Negative	134	train	True	DP
498	Apoptosis Negative	Apoptosis	153	train	True	DP
499	Apoptosis Negative	Apoptosis Negative	79	train	True	DP
500	ADCCM	ADCCM	33	train	True	DP
501	ADCCM	ADCCM Negative	48	train	True	DP
502	ADCCM Negative	ADCCM	43	train	True	DP
503	ADCCM Negative	ADCCM Negative	38	train	True	DP
504	SmallIrregular	SmallIrregular	56	train	True	DP
