	Feature_Name	Phenotypic_Class	ML_coefficient
301	CP__AreaShape_MinFeretDiameter	Anaphase	0.0
302	CP__AreaShape_MinFeretDiameter	Apoptosis	0.0
303	CP__AreaShape_MinFeretDiameter	Binuclear	0.0
304	CP__AreaShape_MinFeretDiameter	Elongated	0.0
305	CP__AreaShape_MinFeretDiameter	Grape	0.0
306	CP__AreaShape_MinFeretDiameter	Hole	0.0
307	CP__AreaShape_MinFeretDiameter	Interphase	-0.07523290761455834
308	CP__AreaShape_MinFeretDiameter	Large	0.0
309	CP__AreaShape_MinFeretDiameter	Metaphase	0.0
310	CP__AreaShape_MinFeretDiameter	MetaphaseAlignment	-0.06266353326150786
311	CP__AreaShape_MinFeretDiameter	OutOfFocus	0.02693592045617184
312	CP__AreaShape_MinFeretDiameter	Polylobed	0.0
313	CP__AreaShape_MinFeretDiameter	Prometaphase	0.0
314	CP__AreaShape_MinFeretDiameter	SmallIrregular	-0.05548842849317441
315	CP__AreaShape_MinorAxisLength	ADCCM	0.0
316	CP__AreaShape_MinorAxisLength	Anaphase	0.0
317	CP__AreaShape_MinorAxisLength	Apoptosis	0.0
318	CP__AreaShape_MinorAxisLength	Binuclear	0.0
319	CP__AreaShape_MinorAxisLength	Elongated	-0.028742471102099883
320	CP__AreaShape_MinorAxisLength	Grape	-0.11436040959757263
321	CP__AreaShape_MinorAxisLength	Hole	0.0
322	CP__AreaShape_MinorAxisLength	Interphase	-0.05516308949528351
323	CP__AreaShape_MinorAxisLength	Large	0.0
324	CP__AreaShape_MinorAxisLength	Metaphase	0.008905653499695663
325	CP__AreaShape_MinorAxisLength	MetaphaseAlignment	0.0
326	CP__AreaShape_MinorAxisLength	OutOfFocus	0.0
327	CP__AreaShape_MinorAxisLength	Polylobed	0.0
328	CP__AreaShape_MinorAxisLength	Prometaphase	0.0
329	CP__AreaShape_MinorAxisLength	SmallIrregular	0.007747869426588543
330	CP__AreaShape_Orientation	ADCCM	0.0
331	CP__AreaShape_Orientation	Anaphase	0.0010220808438577665
332	CP__AreaShape_Orientation	Apoptosis	-0.07044363299409842
333	CP__AreaShape_Orientation	Binuclear	0.0
334	CP__AreaShape_Orientation	Elongated	0.0
335	CP__AreaShape_Orientation	Grape	0.0
336	CP__AreaShape_Orientation	Hole	-0.01863693078296387
337	CP__AreaShape_Orientation	Interphase	0.0
338	CP__AreaShape_Orientation	Large	0.0
339	CP__AreaShape_Orientation	Metaphase	0.023388312333552676
340	CP__AreaShape_Orientation	MetaphaseAlignment	0.012939911278074956
341	CP__AreaShape_Orientation	OutOfFocus	0.0
342	CP__AreaShape_Orientation	Polylobed	-0.11829576423373973
343	CP__AreaShape_Orientation	Prometaphase	0.07753620936508901
344	CP__AreaShape_Orientation	SmallIrregular	0.0
345	CP__AreaShape_Perimeter	ADCCM	0.0
346	CP__AreaShape_Perimeter	Anaphase	0.0
347	CP__AreaShape_Perimeter	Apoptosis	0.07075876681653488
348	CP__AreaShape_Perimeter	Binuclear	-0.001236008144339344
349	CP__AreaShape_Perimeter	Elongated	0.0
350	CP__AreaShape_Perimeter	Grape	0.0
351	CP__AreaShape_Perimeter	Hole	0.0
352	CP__AreaShape_Perimeter	Interphase	-0.008636697248340446
353	CP__AreaShape_Perimeter	Large	0.0
354	CP__AreaShape_Perimeter	Metaphase	-0.0024681478970131564
355	CP__AreaShape_Perimeter	MetaphaseAlignment	0.008833648720624244
356	CP__AreaShape_Perimeter	OutOfFocus	0.0
357	CP__AreaShape_Perimeter	Polylobed	-0.04138233454839649
358	CP__AreaShape_Perimeter	Prometaphase	0.0
359	CP__AreaShape_Perimeter	SmallIrregular	0.0
360	CP__AreaShape_Solidity	ADCCM	0.0
361	CP__AreaShape_Solidity	Anaphase	0.0
362	CP__AreaShape_Solidity	Apoptosis	0.0
363	CP__AreaShape_Solidity	Binuclear	0.010697604173572722
