UMAP1	UMAP2	UMAP3	Mitocheck_Phenotypic_Class
4.5194273	5.164434	3.951343	Binuclear
3.2518194	7.4089603	2.8720822	Binuclear
3.2902017	7.437669	2.8134477	Binuclear
4.5525384	6.6157827	3.8308666	Binuclear
4.197371	6.6171784	4.0601034	Binuclear
4.2708335	6.836992	3.038909	Artefact
4.0805264	6.9596753	3.0209422	Artefact
4.276763	6.8462043	3.0201547	Artefact
3.0597656	7.0313663	3.7610755	Binuclear
4.056882	6.848126	3.5518196	Binuclear
4.217695	6.9903264	3.0144007	Binuclear
2.9273744	6.978682	3.702895	Binuclear
7.952015	5.7145023	3.4622524	MetaphaseAlignment
7.730559	5.844735	3.3889751	Binuclear
4.6380105	6.729901	3.0074222	Polylobed
5.891468	7.0784135	3.3209074	Binuclear
7.5721617	5.899876	3.3418112	Binuclear
4.3665686	8.62576	2.7145638	Binuclear
4.67752	5.208976	3.1374776	Polylobed
4.713017	5.164336	3.1724577	Polylobed
3.7132776	6.5697546	4.2008047	Binuclear
3.8683324	6.636322	4.57323	Binuclear
3.8524692	5.9661965	4.9102373	Polylobed
3.895847	5.779659	4.860762	Polylobed
3.849064	6.163545	4.956069	Polylobed
3.3832922	7.2886295	3.9111862	Binuclear
4.124148	6.0424414	3.4986825	Polylobed
2.855	7.828775	3.3998737	Binuclear
5.3262787	6.378036	3.0034132	Binuclear
3.4177763	6.3346987	3.9870641	Binuclear
7.2555547	7.906104	2.1397698	Prometaphase
7.878369	6.9194617	2.7996395	Prometaphase
7.4472804	8.13138	2.6690223	Prometaphase
7.917892	7.4741836	2.0066164	Prometaphase
8.020011	6.6453357	3.068081	Prometaphase
7.63434	7.910367	2.311418	Prometaphase
8.048777	6.655585	3.0673237	Prometaphase
7.242167	6.8891397	3.1313422	Prometaphase
7.3954344	6.7275233	3.5674613	Prometaphase
5.456089	6.430178	2.6656103	Artefact
5.444313	6.4248543	2.686746	Artefact
5.66471	8.31779	3.9079628	Artefact
5.7220964	8.13572	3.8195133	Artefact
5.7485547	7.9002175	3.7764535	Artefact
6.903867	6.5032477	3.4514015	Artefact
4.2993245	5.702689	3.994854	Artefact
4.2677054	5.7476215	3.9338582	Artefact
4.267718	5.68257	3.8631268	Artefact
4.2233033	5.833148	3.9186885	Artefact
5.6313176	6.633601	2.9766867	Artefact
5.560738	6.874777	2.9367635	Artefact
8.052845	5.868459	3.5240076	Prometaphase
7.511638	7.0325084	3.9740078	Prometaphase
7.3490367	6.6530714	3.443628	Prometaphase
8.111124	5.8470373	3.479408	Prometaphase
4.8696	6.3478246	4.88521	Prometaphase
7.506556	6.711136	3.6552227	Prometaphase
7.160639	6.491902	3.4797163	Prometaphase
7.416634	6.735886	3.0194547	Prometaphase
6.3866105	8.3035965	3.4501467	Prometaphase
7.6843333	6.658774	3.1837525	Prometaphase
7.705671	6.8760023	3.5753465	Prometaphase
7.3616457	8.064464	3.113763	Prometaphase
7.300441	8.240163	2.9994576	Prometaphase
7.9078364	7.4476504	2.1162996	Prometaphase
7.657962	7.8885894	2.2392235	Prometaphase
7.7966228	7.6944838	1.9852508	Prometaphase
7.819375	5.7450194	3.5472672	Prometaphase
3.3443718	7.5076575	4.0502687	Large
4.9355826	6.6957803	3.0111954	Large
4.9662876	6.6093664	3.2628531	Large
5.0920753	7.4364805	2.5761456	Large
3.6152823	7.000173	2.9804313	Binuclear
3.556814	5.6781545	3.7865553	Binuclear
3.618294	6.72192	3.049445	Binuclear
2.4085038	6.1335063	3.2254934	Polylobed
2.8409507	6.328423	3.5956755	Polylobed
2.4160156	6.1437426	3.2517984	Polylobed
2.5449789	6.2647285	3.4692054	Polylobed
3.1486533	6.4133844	3.7042985	Polylobed
3.0433047	6.524455	3.7232697	Polylobed
2.4615366	6.0787077	4.7332263	Polylobed
2.553584	6.222752	4.738993	Polylobed
2.4019172	7.9893146	4.356312	Polylobed
2.3421228	7.6454773	4.4876842	Polylobed
2.3733594	7.746956	4.477692	Polylobed
2.4810746	6.014301	4.6525664	Polylobed
2.5189834	5.9661407	4.6095133	Polylobed
2.555241	5.901073	4.6451287	Polylobed
2.5301883	5.914521	4.6030817	Polylobed
2.5288002	5.8464174	4.5733724	Polylobed
4.1180387	6.31864	2.6106575	Large
3.193573	6.6177483	4.603189	Polylobed
2.5782197	5.3524055	5.253291	Polylobed
3.2098238	6.752706	4.5997925	Polylobed
2.253533	6.3669887	4.8456855	Polylobed
2.2937567	6.9179697	4.740342	Polylobed
6.7771373	6.8613224	3.2335799	Metaphase
5.025075	5.9622188	2.6479769	Interphase
6.2743673	7.309497	3.566988	Interphase
3.716429	6.192104	3.50493	Binuclear
4.011182	6.3589206	3.6023102	Binuclear
4.2811074	6.081445	2.7008138	Large
4.7219	5.9242463	2.702645	Interphase
4.1522393	7.577709	3.654054	Interphase
6.1461525	6.4469905	1.955955	Interphase
5.952352	6.303562	2.3817856	Interphase
3.1493487	8.533638	3.7770152	Interphase
4.6201773	6.68677	2.2008536	Interphase
3.223579	8.733344	4.024385	Binuclear
4.465572	6.6481204	1.9940684	Interphase
3.1012878	8.916739	4.0723085	Binuclear
5.988281	6.7269917	3.149513	Interphase
8.355969	6.2335863	2.435273	Metaphase
8.161568	6.3443885	2.4905784	Metaphase
8.591908	5.946673	2.6917417	MetaphaseAlignment
7.8312635	5.7798157	3.4214382	MetaphaseAlignment
7.272209	8.07346	2.8830664	MetaphaseAlignment
7.6505566	6.3770485	4.0196476	MetaphaseAlignment
6.445269	8.60879	2.6816204	SmallIrregular
6.431871	8.76723	2.7444468	SmallIrregular
6.13266	9.361473	2.6536772	SmallIrregular
6.992696	8.429578	2.7422256	SmallIrregular
5.5576615	9.951856	2.3723755	SmallIrregular
4.67107	7.673255	3.3901842	SmallIrregular
5.618926	10.005955	2.2986252	SmallIrregular
8.00565	6.3199286	3.5376797	Apoptosis
6.227042	8.069088	3.5156693	Hole
5.594399	9.028637	2.3059168	SmallIrregular
6.5711355	6.97214	2.90412	SmallIrregular
6.3289304	8.794325	2.6336572	SmallIrregular
6.3000355	8.913933	2.6197772	SmallIrregular
6.500797	7.912513	2.9999251	SmallIrregular
5.513649	9.924328	2.4171531	SmallIrregular
5.8047643	9.769479	2.519298	Folded
5.7633843	9.850272	2.5197968	SmallIrregular
5.7616234	9.773558	2.4925804	SmallIrregular
6.2854586	9.250878	2.5687459	UndefinedCondensed
7.0874147	8.265591	2.4470367	SmallIrregular
4.3781238	9.3773775	3.0868087	Folded
4.048658	9.426961	3.121165	Folded
7.0339	8.174658	2.437725	SmallIrregular
5.571498	9.906535	2.3845189	SmallIrregular
5.569988	9.917302	2.3546863	SmallIrregular
5.543392	9.941349	2.3633747	SmallIrregular
5.6359024	10.011975	2.284944	SmallIrregular
5.617334	10.031719	2.3061228	SmallIrregular
5.5651865	9.965214	2.3317838	SmallIrregular
6.223951	6.6185436	2.91915	Hole
7.3114266	7.685715	2.166938	UndefinedCondensed
6.0775576	8.3563	3.498286	Hole
5.9875526	7.257777	3.3381085	Hole
4.4936028	6.408729	2.8506916	Folded
5.3457875	9.490042	3.4058309	SmallIrregular
5.5199413	9.857023	2.4503646	SmallIrregular
7.0887747	8.230492	2.6670172	SmallIrregular
6.4731026	8.877127	2.7875268	SmallIrregular
5.9892583	7.398018	3.1020944	SmallIrregular
